sim_time_s,mission_state,assurance_state,action,link,navigation_confidence,energy_margin_wh,decision_code
14.555,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
15.057,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
15.558,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
16.059,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
16.561,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
17.061,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
17.563,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
18.063,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
18.566,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
19.067,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
19.569,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
20.069,OUTBOUND,WATCH,NONE,False,0.9,60.0,LINK_LOSS_DWELL
20.578,OUTBOUND,WATCH,NONE,False,0.9,60.0,LINK_LOSS_DWELL
21.079,OUTBOUND,WATCH,NONE,False,0.9,60.0,LINK_LOSS_DWELL
21.581,OUTBOUND,WATCH,NONE,False,0.9,60.0,LINK_LOSS_DWELL
22.082,OUTBOUND,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,NAVIGATION_INVALID
22.607,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
23.109,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
23.611,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
24.112,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
24.614,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
25.115,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
25.616,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
