sim_time_s,mission_state,assurance_state,action,link,navigation_confidence,energy_margin_wh,decision_code
51.0,RETURNING,RECOVER,RETURN,False,0.9,22.35,LINK_LOSS_RETURN_AFTER_DELIVERY
51.5,RETURNING,RECOVER,RETURN,False,0.9,22.275,LINK_LOSS_RETURN_AFTER_DELIVERY
52.0,RETURNING,RECOVER,RETURN,False,0.9,22.2,LINK_LOSS_RETURN_AFTER_DELIVERY
52.5,RETURNING,RECOVER,RETURN,False,0.9,22.125,LINK_LOSS_RETURN_AFTER_DELIVERY
53.0,RETURNING,RECOVER,RETURN,False,0.9,22.05,LINK_LOSS_RETURN_AFTER_DELIVERY
53.5,RETURNING,RECOVER,RETURN,False,0.9,21.975,LINK_LOSS_RETURN_AFTER_DELIVERY
54.0,RETURNING,RECOVER,RETURN,False,0.9,21.9,LINK_LOSS_RETURN_AFTER_DELIVERY
54.5,RETURNING,RECOVER,RETURN,False,0.9,21.825000000000003,LINK_LOSS_RETURN_AFTER_DELIVERY
55.0,RETURNING,RECOVER,RETURN,False,0.9,21.75,LINK_LOSS_RETURN_AFTER_DELIVERY
55.5,RETURNING,RECOVER,RETURN,False,0.9,21.675,LINK_LOSS_RETURN_AFTER_DELIVERY
56.0,RETURNING,RECOVER,RETURN,False,0.9,21.6,LINK_LOSS_RETURN_AFTER_DELIVERY
56.5,RETURNING,RECOVER,RETURN,False,0.9,21.525,LINK_LOSS_RETURN_AFTER_DELIVERY
57.0,RETURNING,RECOVER,RETURN,False,0.9,21.450000000000003,LINK_LOSS_RETURN_AFTER_DELIVERY
57.5,RETURNING,RECOVER,RETURN,False,0.9,21.375,LINK_LOSS_RETURN_AFTER_DELIVERY
58.0,RETURNING,RECOVER,RETURN,False,0.9,21.3,LINK_LOSS_RETURN_AFTER_DELIVERY
58.5,RETURNING,RECOVER,RETURN,False,0.9,21.225,LINK_LOSS_RETURN_AFTER_DELIVERY
59.0,RETURNING,RECOVER,RETURN,False,0.9,21.15,LINK_LOSS_RETURN_AFTER_DELIVERY
59.5,RETURNING,RECOVER,RETURN,False,0.9,21.075000000000003,LINK_LOSS_RETURN_AFTER_DELIVERY
60.0,RETURNING,RECOVER,RETURN,False,0.9,21.0,LINK_LOSS_RETURN_AFTER_DELIVERY
60.5,RETURNING,RECOVER,RETURN,False,0.9,20.925,LINK_LOSS_RETURN_AFTER_DELIVERY
61.0,RETURNING,RECOVER,RETURN,False,0.9,20.85,LINK_LOSS_RETURN_AFTER_DELIVERY
61.5,RETURNING,RECOVER,RETURN,False,0.9,20.775,LINK_LOSS_RETURN_AFTER_DELIVERY
62.0,RECOVERED,RECOVER,RETURN,False,0.9,20.700000000000003,LINK_LOSS_RETURN_AFTER_DELIVERY
