sim_time_s,mission_state,assurance_state,action,link,navigation_confidence,energy_margin_wh,decision_code,package_custody,receipt_status,delivery_outcome,timeliness
33.641,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
34.145,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
34.646,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
35.146,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
35.647,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
36.148,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
36.648,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
37.15,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
37.651,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
38.153,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
38.654,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
39.155,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
39.656,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
40.157,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
